,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2018-12-12 01:00:00,49.01,62497.0,0.9156301943027455,2,1,12,47.080000000000005,42.82,47.10000000000001
2018-12-12 02:00:00,48.28,60011.0,0.884541751234328,2,2,12,44.02000000000002,42.29000000000001,46.330000000000005
2018-12-12 03:00:00,48.69,58775.0,0.8641833646495216,2,3,12,44.430000000000014,42.07000000000001,47.080000000000005
2018-12-12 04:00:00,52.29,60503.0,0.8781116001301954,2,4,12,50.530000000000015,47.70000000000001,47.080000000000005
2018-12-12 05:00:00,66.47,65280.0,0.8943611133392155,2,5,12,59.84000000000001,54.04000000000001,57.080000000000005
2018-12-12 06:00:00,85.05,71657.0,0.9443314365167237,2,6,12,67.98,64.04000000000002,67.03
2018-12-12 07:00:00,90.12,75280.0,0.9654930283880028,2,7,12,70.78,67.17000000000002,69.94
2018-12-12 08:00:00,89.68,75635.0,0.9637026075927331,2,8,12,69.88,66.95000000000002,68.17000000000002
2018-12-12 09:00:00,86.88,74830.0,0.9601905494423699,2,9,12,68.53,67.29000000000002,68.66
2018-12-12 10:00:00,81.06,73859.0,0.9617419668090086,2,10,12,67.21,67.07,68.79000000000002
2018-12-12 11:00:00,75.95,73170.0,0.9675311620426217,2,11,12,64.62,66.11000000000001,67.06
2018-12-12 12:00:00,76.41,72484.0,0.9638417509266497,2,12,12,65.06,65.23000000000002,67.78
2018-12-12 13:00:00,79.41,70670.0,0.9484250165385986,2,13,12,65.91,64.23,68.7
2018-12-12 14:00:00,82.24,68955.0,0.9233869424923795,2,14,12,67.65000000000002,60.850000000000016,68.77000000000001
2018-12-12 15:00:00,82.18,68530.0,0.8933605643332373,2,15,12,69.93,62.48000000000001,67.54
2018-12-12 16:00:00,89.86,72149.0,0.911113012233724,2,16,12,81.36000000000001,66.66000000000001,69.45
2018-12-12 17:00:00,83.45,76382.0,0.9591772228840963,2,17,12,75.93000000000002,67.83000000000001,68.09
2018-12-12 18:00:00,77.27,77935.0,1.008306645316253,2,18,12,70.74000000000001,66.1,65.90999999999998
2018-12-12 19:00:00,69.99,74255.0,0.9833180287725742,2,19,12,68.04000000000002,58.34000000000001,56.10000000000002
2018-12-12 20:00:00,66.1,70075.0,0.9443224389613745,2,20,12,64.07,52.99000000000001,49.810000000000024
2018-12-12 21:00:00,63.45,67895.0,0.9220354808590103,2,21,12,63.59000000000001,51.79,50.560000000000024
